timestamp,ip_address,prediction,attack_type,risk_level,confidence,protocol,source_ip,destination_ip,packet_length,threat_intel_score
2026-08-18T09:27:12.825705,192.168.1.38,False,normal,low,0.9675595238095238,tcp,192.168.1.38,151.101.65.140,1148,
2026-08-18T09:27:12.869025,192.168.1.16,False,normal,low,0.9800925925925926,tcp,192.168.1.16,192.168.1.1,522,
2026-08-18T09:27:12.907695,192.168.1.39,False,normal,low,0.9958333333333333,tcp,192.168.1.39,151.101.65.140,146,
2026-08-18T09:27:12.941934,192.168.1.150,False,normal,low,0.9958333333333333,tcp,192.168.1.150,192.168.1.1,112,
2026-08-18T09:27:13.071237,192.168.1.42,False,normal,low,0.9615277777777778,udp,192.168.1.42,192.168.1.1,737,
2026-08-18T09:27:13.488005,192.168.1.21,False,normal,low,0.9682539682539683,tcp,192.168.1.21,8.8.8.8,1215,
2026-08-18T09:27:13.843530,192.168.1.105,False,normal,low,0.9533333333333334,tcp,192.168.1.105,185.199.108.153,1409,
2026-08-18T09:27:14.200158,192.168.1.44,False,normal,low,0.9670833333333333,tcp,192.168.1.44,151.101.65.140,914,
2026-08-18T09:27:14.616514,192.168.1.46,False,normal,low,0.9742261904761905,tcp,192.168.1.46,1.1.1.1,998,
2026-08-18T09:27:15.059547,192.168.1.16,False,normal,low,0.9688095238095239,tcp,192.168.1.16,151.101.65.140,1284,
2026-08-18T09:27:15.347121,185.220.101.5,False,normal,low,0.9958333333333333,tcp,185.220.101.5,192.168.1.1,93,
2026-08-18T09:27:15.712761,192.168.1.48,False,normal,low,0.9675595238095238,tcp,192.168.1.48,142.250.190.46,1140,
2026-08-18T09:27:16.131432,192.168.1.9,False,normal,low,0.9615277777777778,tcp,192.168.1.9,8.8.8.8,716,
2026-08-19T01:11:10.573992,192.168.1.23,False,normal,low,0.9688095238095239,tcp,192.168.1.23,151.101.65.140,1367,
2026-08-19T01:11:13.302623,192.168.1.36,False,normal,low,0.9958333333333333,tcp,192.168.1.36,142.250.190.46,283,
2026-08-19T01:11:14.385688,192.168.1.39,False,normal,low,0.9958333333333333,tcp,192.168.1.39,1.1.1.1,139,
2026-08-19T01:11:15.331841,192.168.1.44,False,normal,low,0.9958333333333333,udp,192.168.1.44,1.1.1.1,159,
