timestamp,ip_address,prediction,attack_type,risk_level,confidence,protocol,source_ip,destination_ip,packet_length,threat_intel_score
2026-09-08T03:14:51.126589,192.168.1.32,False,normal,low,0.9958333333333333,udp,192.168.1.32,151.101.65.140,270,
2026-09-08T03:14:51.384627,192.168.1.32,False,normal,low,0.9800925925925926,udp,192.168.1.32,192.168.1.1,524,
2026-09-08T03:14:51.615257,172.16.0.45,False,normal,low,0.9958333333333333,tcp,172.16.0.45,192.168.1.1,60,
2026-09-08T03:14:51.934614,192.168.1.49,False,normal,low,0.9688095238095239,tcp,192.168.1.49,142.250.190.46,1341,
2026-09-08T03:14:52.190846,192.168.1.48,False,normal,low,0.9654761904761905,udp,192.168.1.48,192.168.1.1,1268,
2026-09-08T03:14:52.381035,172.16.0.45,False,normal,low,0.9958333333333333,tcp,172.16.0.45,192.168.1.1,60,
2026-09-08T03:14:52.588957,10.0.0.99,False,normal,low,0.9958333333333333,tcp,10.0.0.99,192.168.1.1,117,
2026-09-08T03:14:52.732115,192.168.1.40,False,normal,low,0.9958333333333333,tcp,192.168.1.40,151.101.65.140,230,
2026-09-08T03:14:52.945399,192.168.1.9,False,normal,low,0.9533333333333334,udp,192.168.1.9,151.101.65.140,1409,
2026-09-08T03:14:53.110766,192.168.1.13,False,normal,low,0.9758928571428572,tcp,192.168.1.13,1.1.1.1,1177,
2026-09-08T03:14:53.227103,192.168.1.12,False,normal,low,0.9533333333333334,tcp,192.168.1.12,192.168.1.1,1418,
2026-09-08T03:14:53.357751,45.33.32.156,False,normal,low,0.9958333333333333,tcp,45.33.32.156,192.168.1.1,68,
2026-09-08T03:14:53.682408,192.168.1.50,False,normal,low,0.9742261904761905,tcp,192.168.1.50,151.101.65.140,976,
2026-09-08T03:14:53.799612,192.168.1.19,False,normal,low,0.9958333333333333,tcp,192.168.1.19,151.101.65.140,237,
2026-09-08T03:14:54.024432,192.168.1.150,False,normal,low,0.9958333333333333,tcp,192.168.1.150,192.168.1.1,225,
2026-09-08T03:14:54.149115,192.168.1.105,False,normal,low,0.9450000000000001,tcp,192.168.1.105,185.199.108.153,1485,
2026-09-08T03:14:54.340163,192.168.1.42,False,normal,low,0.9787037037037037,udp,192.168.1.42,1.1.1.1,501,
