timestamp,ip_address,prediction,attack_type,risk_level,confidence,protocol,source_ip,destination_ip,packet_length,threat_intel_score
2026-09-08T15:37:25.218433,192.168.1.29,False,normal,low,0.9675595238095238,tcp,192.168.1.29,192.168.1.1,1063,
2026-09-08T15:37:25.426192,192.168.1.9,False,normal,low,0.9833333333333333,tcp,192.168.1.9,8.8.8.8,580,
2026-09-08T15:37:25.578467,192.168.1.15,False,normal,low,0.9787037037037037,udp,192.168.1.15,8.8.8.8,506,
2026-09-08T15:37:25.820757,192.168.1.38,False,normal,low,0.9958333333333333,tcp,192.168.1.38,8.8.8.8,418,
2026-09-08T15:37:26.064542,192.168.1.29,False,normal,low,0.95875,udp,192.168.1.29,142.250.190.46,675,
2026-09-08T15:37:26.182870,192.168.1.105,False,normal,low,0.9533333333333334,tcp,192.168.1.105,185.199.108.153,1448,
2026-09-08T15:37:26.447027,10.0.0.99,False,normal,low,0.9958333333333333,tcp,10.0.0.99,192.168.1.1,78,
2026-09-08T15:37:26.765570,192.168.1.14,False,normal,low,0.9688095238095239,tcp,192.168.1.14,192.168.1.1,1310,
2026-09-08T15:37:26.956493,192.168.1.47,False,normal,low,0.9654761904761905,udp,192.168.1.47,8.8.8.8,1264,
2026-09-08T15:37:27.115917,192.168.1.23,False,normal,low,0.9615277777777778,udp,192.168.1.23,8.8.8.8,732,
2026-09-08T15:37:27.433547,192.168.1.12,False,normal,low,0.9533333333333334,tcp,192.168.1.12,1.1.1.1,1400,
2026-09-08T15:37:27.554564,192.168.1.30,False,normal,low,0.9533333333333334,tcp,192.168.1.30,151.101.65.140,1403,
2026-09-08T15:37:27.819059,198.51.100.22,False,normal,low,0.9958333333333333,tcp,198.51.100.22,192.168.1.1,60,
2026-09-08T15:37:28.053718,192.168.1.12,False,normal,low,0.9958333333333333,tcp,192.168.1.12,8.8.8.8,351,
2026-09-08T15:37:28.396388,192.168.1.17,False,normal,low,0.9688095238095239,tcp,192.168.1.17,151.101.65.140,1329,
2026-09-08T15:37:28.629775,192.168.1.34,False,normal,low,0.95875,tcp,192.168.1.34,8.8.8.8,890,
2026-09-08T15:37:28.894368,192.168.1.11,False,normal,low,0.9958333333333333,tcp,192.168.1.11,192.168.1.1,153,
